port,status,service,method,banner,error_message,risk_vulnerabilities
151,closed,,,,,
107,closed,,,,,
17,closed,,,,,
34,closed,,,,,
46,closed,,,,,
70,closed,,,,,
81,closed,,,,,
165,closed,,,,,
167,closed,,,,,
173,closed,,,,,
91,closed,,,,,
166,closed,,,,,
106,closed,,,,,
193,closed,,,,,
185,closed,,,,,
194,closed,,,,,
203,closed,,,,,
172,closed,,,,,
199,closed,,,,,
164,closed,,,,,
178,closed,,,,,
208,closed,,,,,
195,closed,,,,,
200,closed,,,,,
168,closed,,,,,
201,closed,,,,,
86,closed,,,,,
78,closed,,,,,
205,closed,,,,,
171,closed,,,,,
176,closed,,,,,
101,closed,,,,,
97,closed,,,,,
19,closed,,,,,
174,closed,,,,,
202,closed,,,,,
163,closed,,,,,
169,closed,,,,,
175,closed,,,,,
180,closed,,,,,
170,closed,,,,,
92,closed,,,,,
160,closed,,,,,
111,closed,,,,,
177,closed,,,,,
112,closed,,,,,
95,closed,,,,,
196,closed,,,,,
197,closed,,,,,
161,closed,,,,,
47,closed,,,,,
76,closed,,,,,
204,closed,,,,,
108,closed,,,,,
16,closed,,,,,
59,closed,,,,,
218,closed,,,,,
186,closed,,,,,
219,closed,,,,,
225,closed,,,,,
209,closed,,,,,
221,closed,,,,,
235,closed,,,,,
99,closed,,,,,
237,closed,,,,,
240,closed,,,,,
232,closed,,,,,
49,closed,,,,,
51,closed,,,,,
211,closed,,,,,
63,closed,,,,,
57,closed,,,,,
212,closed,,,,,
242,closed,,,,,
244,closed,,,,,
61,closed,,,,,
14,closed,,,,,
210,closed,,,,,
223,closed,,,,,
55,closed,,,,,
103,closed,,,,,
188,closed,,,,,
234,closed,,,,,
113,closed,,,,,
241,closed,,,,,
236,closed,,,,,
246,closed,,,,,
245,closed,,,,,
243,closed,,,,,
65,closed,,,,,
53,closed,,,,,
247,closed,,,,,
67,closed,,,,,
220,closed,,,,,
77,closed,,,,,
224,closed,,,,,
187,closed,,,,,
238,closed,,,,,
239,closed,,,,,
222,closed,,,,,
231,closed,,,,,
189,closed,,,,,
230,closed,,,,,
213,closed,,,,,
257,closed,,,,,
267,closed,,,,,
216,closed,,,,,
266,closed,,,,,
259,closed,,,,,
233,closed,,,,,
32,closed,,,,,
261,closed,,,,,
156,closed,,,,,
248,closed,,,,,
251,closed,,,,,
262,closed,,,,,
214,closed,,,,,
263,closed,,,,,
264,closed,,,,,
265,closed,,,,,
215,closed,,,,,
268,closed,,,,,
269,closed,,,,,
94,closed,,,,,
192,closed,,,,,
87,closed,,,,,
278,closed,,,,,
260,closed,,,,,
280,closed,,,,,
279,closed,,,,,
258,closed,,,,,
29,closed,,,,,
41,closed,,,,,
37,closed,,,,,
191,closed,,,,,
207,closed,,,,,
249,closed,,,,,
43,closed,,,,,
250,closed,,,,,
253,closed,,,,,
255,closed,,,,,
256,closed,,,,,
270,closed,,,,,
277,closed,,,,,
79,closed,,,,,
206,closed,,,,,
252,closed,,,,,
254,closed,,,,,
217,closed,,,,,
306,closed,,,,,
69,closed,,,,,
303,closed,,,,,
26,closed,,,,,
281,closed,,,,,
71,closed,,,,,
289,closed,,,,,
288,closed,,,,,
273,closed,,,,,
198,closed,,,,,
308,closed,,,,,
292,closed,,,,,
334,closed,,,,,
336,closed,,,,,
341,closed,,,,,
310,closed,,,,,
347,closed,,,,,
110,closed,,,,,
73,closed,,,,,
184,closed,,,,,
284,closed,,,,,
179,closed,,,,,
302,closed,,,,,
311,closed,,,,,
